RA,ANO,Fase,IDADE,IDADE,Gênero,Instituição de ensino,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE,INDICADORES_MEDIA,IEG_IDA_RATIO,INDE_IDA_RATIO,DESALINHAMENTO_IAA_IDA,CATEGORIA_RISCO
RA-1,2022,7,19.0,,Menina,Escola Pública,5.0,4.0,4.1,8.3,5.6,7.555149797579633,7.278,7.396685633864757,5.97616425679709,1.0247438140464882,1.8487092311583995,4.300000000000001,Muito Alto Risco
RA-2,2022,7,17.0,,Menina,Rede Decisão,10.0,6.8,5.2,8.8,6.3,7.555149797579633,6.778,7.396685633864757,7.347592828225662,0.7645934421408617,1.0875879479289452,2.000000000000001,Alto Risco
RA-3,2022,7,17.0,,Menina,Rede Decisão,10.0,5.6,7.9,0.0,5.6,7.555149797579633,7.556,7.396685633864757,6.315878542511376,1.4104624174254599,1.3206008987439308,-5.6,Alto Risco
RA-4,2022,7,17.0,,Menino,Rede Decisão,10.0,5.0,4.5,8.8,5.6,7.555149797579633,5.278,7.396685633864757,6.676164256797089,0.8998200359928014,1.4790413185092495,3.8000000000000007,Alto Risco
RA-5,2022,7,17.0,,Menina,Rede Decisão,10.0,5.2,8.6,7.9,5.6,7.555149797579633,7.389,7.396685633864757,7.463449971082804,1.653528167660065,1.4221660515025487,2.7,Alto Risco
RA-6,2022,7,18.0,,Menina,Escola Pública,5.0,3.3,4.5,7.9,7.5,7.555149797579633,7.222,7.396685633864757,6.139592828225662,1.3632232656770678,2.2407408766630588,4.6000000000000005,Muito Alto Risco
RA-7,2022,7,18.0,,Menino,Rede Decisão,5.0,7.6,8.4,0.0,7.5,7.555149797579633,7.667,7.396685633864757,6.246021399654233,1.105117747664781,0.9731200676048885,-7.6,Muito Alto Risco
RA-8,2022,7,20.0,,Menina,Escola Pública,5.0,1.6,4.6,7.1,6.3,7.555149797579633,6.278,7.396685633864757,5.490449971082804,2.873204247345409,4.620040995543259,5.5,Muito Alto Risco
RA-9,2022,7,18.0,,Menina,Escola Pública,5.0,6.7,9.5,8.8,7.5,7.555149797579633,9.5,7.396685633864757,7.793592828225662,1.4176988509177733,1.1038181814452703,2.1000000000000005,Muito Alto Risco
RA-10,2022,7,18.0,,Menina,Escola Pública,5.0,4.1,5.2,8.3,5.0,7.555149797579633,7.056,7.396685633864757,6.03016425679709,1.2679834186783712,1.8036297570994286,4.200000000000001,Muito Alto Risco
RA-11,2022,7,18.0,,Menina,Escola Pública,5.0,3.0,4.2,9.2,5.0,7.555149797579633,6.389,7.396685633864757,5.763449971082805,1.3995334888370545,2.464740297855634,6.199999999999999,Muito Alto Risco
RA-12,2022,7,17.0,,Menina,Escola Pública,10.0,1.5,4.0,0.0,6.9,7.555149797579633,6.389,7.396685633864757,5.192021399654233,2.6648900732844774,4.927838530223023,-1.5,Alto Risco
RA-13,2022,7,18.0,,Menino,Escola Pública,5.0,4.7,7.4,7.9,7.5,7.555149797579633,8.056,7.396685633864757,6.873021399654233,1.574133163156775,1.5734281288799736,3.2,Muito Alto Risco
RA-14,2022,7,21.0,,Menino,Escola Pública,5.0,4.0,8.3,7.9,7.5,7.555149797579633,7.75,7.396685633864757,6.857878542511377,2.074481379655086,1.8487092311583995,3.9000000000000004,Muito Alto Risco
RA-15,2022,7,18.0,,Menino,Escola Pública,5.0,7.3,10.0,8.8,7.5,7.555149797579633,7.292,7.396685633864757,7.635307113939947,1.3696753869332967,1.0131058257587668,1.5000000000000009,Muito Alto Risco
RA-16,2022,7,19.0,,Menino,Escola Pública,5.0,3.5,8.3,7.9,5.0,7.555149797579633,6.333,7.396685633864757,6.226878542511376,2.370751213938875,2.112735113928808,4.4,Muito Alto Risco
RA-17,2022,7,20.0,,Menino,Escola Pública,5.0,7.8,10.0,8.8,7.5,7.555149797579633,8.292,7.396685633864757,7.849592828225662,1.281886937572106,0.9481714695378486,1.0000000000000009,Muito Alto Risco
RA-18,2022,7,19.0,,Menino,Escola Pública,5.0,9.0,8.7,6.3,6.3,7.555149797579633,6.875,7.396685633864757,7.104307113939947,0.9665592711920897,0.8217626523569334,-2.7,Muito Alto Risco
RA-19,2022,7,19.0,,Menina,Escola Pública,5.0,8.0,9.5,7.9,7.5,7.555149797579633,7.0,7.396685633864757,7.493592828225661,1.1873515810523685,0.9244701454649116,-0.09999999999999964,Muito Alto Risco
RA-20,2022,7,19.0,,Menina,Escola Pública,5.0,7.8,10.0,7.1,6.3,7.555149797579633,7.167,7.396685633864757,7.274592828225662,1.281886937572106,0.9481714695378486,-0.7000000000000002,Muito Alto Risco
RA-21,2022,7,18.0,,Menino,Escola Pública,5.0,3.8,9.2,9.6,7.5,7.555149797579633,7.25,7.396685633864757,7.129307113939947,2.4204156800841883,1.9459841183543165,5.8,Muito Alto Risco
RA-22,2022,6,17.0,,Menina,Rede Decisão,5.0,6.7,7.4,8.3,8.1,7.555149797579633,8.833,7.396685633864757,7.4125928282256615,1.1043127891359499,1.1038181814452703,1.6000000000000005,Muito Alto Risco
RA-23,2022,6,17.0,,Menino,Escola Pública,5.0,6.7,8.2,8.3,8.1,7.555149797579633,8.556,7.396685633864757,7.487307113939947,1.2236979555290253,1.1038181814452703,1.6000000000000005,Muito Alto Risco
RA-24,2022,6,17.0,,Menina,Rede Decisão,5.0,8.6,7.9,9.2,6.9,7.555149797579633,9.111,7.396685633864757,7.752307113939947,0.9184978490873156,0.8599797272252945,0.5999999999999996,Muito Alto Risco
RA-25,2022,6,17.0,,Menina,Escola Pública,5.0,6.9,8.3,8.3,8.8,7.555149797579633,9.667,7.396685633864757,7.788878542511377,1.202724242863353,1.0718280877937627,1.4000000000000004,Muito Alto Risco
RA-26,2022,6,17.0,,Menino,Escola Pública,5.0,8.0,8.8,9.6,10.0,7.555149797579633,10.0,7.396685633864757,8.42216425679709,1.099862517185352,0.9244701454649116,1.5999999999999996,Muito Alto Risco
RA-27,2022,6,17.0,,Menino,Rede Decisão,5.0,8.0,7.6,0.0,8.1,7.555149797579633,9.111,7.396685633864757,6.480878542511377,0.9498812648418948,0.9244701454649116,-8.0,Muito Alto Risco
RA-28,2022,6,17.0,,Menina,Escola Pública,5.0,5.0,6.1,7.9,7.5,7.555149797579633,6.333,7.396685633864757,6.484021399654233,1.219756048790242,1.4790413185092495,2.9000000000000004,Muito Alto Risco
RA-29,2022,6,17.0,,Menino,Escola Pública,5.0,3.7,4.0,0.0,8.8,7.555149797579633,7.611,7.396685633864757,5.238021399654232,1.0807889759524452,1.9985640729167136,-3.7,Muito Alto Risco
RA-30,2022,6,16.0,,Menina,Escola Pública,10.0,7.5,6.4,8.8,7.5,7.555149797579633,7.333,7.396685633864757,7.869735685368519,0.8532195707239035,0.9860932720790236,1.3000000000000007,Alto Risco
RA-31,2022,6,17.0,,Menina,Rede Decisão,5.0,8.0,9.5,10.0,9.4,7.555149797579633,10.0,7.396685633864757,8.493592828225662,1.1873515810523685,0.9244701454649116,2.0,Muito Alto Risco
RA-32,2022,6,16.0,,Menina,Rede Decisão,10.0,6.1,5.2,8.8,8.8,7.555149797579633,7.944,7.396685633864757,7.771307113939948,0.8523192919193575,1.2123726657703258,2.700000000000001,Alto Risco
RA-33,2022,6,17.0,,Menina,Escola Pública,5.0,4.8,4.6,0.0,7.5,7.555149797579633,6.0,7.396685633864757,5.065021399654233,0.9581337221412205,1.540655203887681,-4.8,Muito Alto Risco
RA-34,2022,6,17.0,,Menino,Rede Decisão,5.0,3.8,4.8,9.6,8.1,7.555149797579633,7.278,7.396685633864757,6.590449971082805,1.2628255722178374,1.9459841183543165,5.8,Muito Alto Risco
RA-35,2022,6,17.0,,Menina,Rede Decisão,5.0,8.5,9.6,10.0,9.4,7.555149797579633,10.0,7.396685633864757,8.579307113939947,1.129278908363722,0.8700959456375436,1.5,Muito Alto Risco
RA-36,2022,6,17.0,,Menina,Rede Decisão,5.0,6.8,9.0,9.2,6.9,7.555149797579633,8.944,7.396685633864757,7.628449971082804,1.3233348037053374,1.0875879479289452,2.3999999999999995,Muito Alto Risco
RA-37,2022,6,17.0,,Menina,Rede Decisão,5.0,5.9,5.4,0.0,5.0,7.555149797579633,5.222,7.396685633864757,4.868164256797091,0.9150991357397051,1.2534630797940614,-5.9,Muito Alto Risco
